Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-188109,RCP-036174,State Of Tennessee,Tennessee,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Not Started,Knox County Forensic Lab,1-Public Health,1.14-Other Public Health Services,"""Knox County was approved to construct a new facility that will allow the county\u2019s Regional Forensic Center to increase operational capacity to ensure critical services are available to meet the needs of the region. The Regional Forensic Center (RFC) serves as the medical examiner\u2019s office for Knox and Anderson Counties and performs autopsies for 21 additional counties in East Tennessee. Current working conditions negatively affect the ability of the facility to provide quality services and meet the growing demands of the region. The approved plan will nearly double the capacity of the new facility to 31,850 sq. ft. The Department expects the following outcomes to be associated with the project: Outcome 1: This proposed approval will increase capacity to provide critical and necessary services. Outcome 2: The funding allocated will allow the facility to remain National Association of Medical Examiners (NAME) accredited. Outcome 3: This proposal allows the Knox County Forensic Lab to properly support local counties and regions in East Tennessee. ""","$20,000,000",$0
TPN-082700,RCP-038243,"Carter County, Tennessee",Tennessee,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Stoney Creek Volunteer Fire Department,6-Revenue Replacement,6.1-Provision of Government Services,"To provide part of the funding needed for the Stoney Creek Volunteer Fire Department to build a new facility, replacing the existing structure that is no longer suitable for that operation.","$150,000","$150,000"
TPN-076939,RCP-014370,"Greeneville Town, TN",Tennessee,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of a new fire station to replace Fire Station #2 which was built in the late 1950s. It has exceeded its lifespan and no longer provides an optimal working and living environment for first responders. The new fire station will allow  for appropriate social distancing for employees on shift, included the living space. There will be space that can be utilized to facilitate drive-through testing and vaccinations in the event of a pandemic or emergency. There will also be a training room, which can serve as an emergency operations command center in the event of a health crisis or other emergency. The new location of the fire station provides a central location for health officials, emergency personnel, and the general public in the event of a health crisis or other emergency.","$3,918,360","$3,918,360"
TPN-030014,RCP-039267,"Hamblen County, Tennessee",Tennessee,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Revenue Loss - Jail and Justice Center Project - Project 1,6-Revenue Replacement,6.1-Provision of Government Services,The Jail and Justice Center Project will aid in the completion of a new jail and justice center.,"$7,500,000","$7,500,000"
TPN-215141,RCP-056552,"Saginaw, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Library/Senior Citizens Center,6-Revenue Replacement,6.1-Provision of Government Services,"Partial funding for the new library and senior citizen's center building.  This funding will be used for furniture and fixtures, other necessary equipment, and construction as needed.","$2,500,000","$2,500,000"
TPN-210386,RCP-056551,"Duncanville, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station Construction,6-Revenue Replacement,6.1-Provision of Government Services,"Construct new fire station.  Citizens of Duncanville passed a bond election in 2018 for $6,000,000 to construct a new fire station.  When the pandemic hit the City was in the design phase.  A contract for construction was not awarded until 2022.  The project cost had essentially doubled from pre-Covid.  By 2022 the nation had experienced on average inflation of 8%, cost of construction materials and demand had significantly increased leading to a disruption in the supply chain with labor shortages and rising fuel costs.  The fire station is a Public Safety need.   The city desires to not issue more debt to cover the shortages and further burden the public with higher taxes.  Expenses included construction cost and IT technology infrastructure for the station and EOC (emergency operations center).","$4,135,084","$4,135,084"
TPN-023697,RCP-053191,"City Of Allen, Texas",Texas,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station #6,6-Revenue Replacement,6.1-Provision of Government Services,Fire Station #6 \u2013 PS1901\nThe construction of the newest and last fire station in Allen will be essential in serving the northwest quadrant of the City. Future development along the SH121 corridor and at the US75/SH121 interchange will require a new fire station. The additional fire station will reduce response times and support the needs of the community.,"$3,500,000","$3,500,000"
TPN-060333,RCP-036178,"Webb County, Texas",Texas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Southern Fire Station,1-Public Health,1.7-Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),"Webb County will construct a new Fire Station. Webb County has issued designated contract for architectural services for this project and is issued a NTP on October 11, 2022. Currently the project is under construction with Quantum Corp who was properly procureed as the construction on May 13, 2024 and is ongoing and nearing completion by October 2025.","$4,710,343","$4,710,343"
TPN-208609,RCP-056313,"Elgin, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,COE Police Building,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new police station building,"$1,535,715","$1,535,715"
TPN-139846,RCP-040004,"Haskell County, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Haskell County Emergency Operations Center,2-Negative Economic Impacts,2.22-Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,"Construct new emergency operations center for Haskell County, Texas.","$1,099,000","$1,099,000"
